strain,type,rating,effects,flavor
Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy"
Agent-Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Citrus,Orange,Skunk"
Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel, Pine, Spicy,Herbal"
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Pungent,Woody,Earthy"
Ak-48,hybrid,4.0,"Happy,Energetic,Uplifted,Creative,Relaxed","Pungent,Citrus,Earthy"
Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Woody,Pine,Earthy"
Alaska-Thunder-Grape,hybrid,5.0,"Tingly,Uplifted,Creative,Euphoric,Focused","Strawberry,Pepper,Grape"
Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet, Earthy, Spicy,Herbal"
Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Woody,Pine,Earthy"
Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Blueberry,Mango,Earthy"
Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese, Sweet, Spicy,Herbal"
Alf,hybrid,5.0,"Relaxed,Creative,Euphoric,Giggly,Happy","Pungent,Diesel,Tropical"
Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Minty,Sweet"
Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Nutty,Sweet,Earthy"
Alien-Apparition,hybrid,4.0,"Hungry,Energetic,Euphoric,Aroused,Tingly","Pungent,Sweet,Skunk"
Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy"
Alien-Bubba,indica,5.0,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Woody,Sweet,Earthy"
Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Pungent,Woody,Earthy"
Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Blueberry,Berry,Sweet"
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Diesel,Sweet,Earthy"
Alien-Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Diesel,Pine,Earthy"
Alien-Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Flowery,Woody,Earthy"
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Citrus,Lemon,Earthy"
Alien-Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Cheese,Skunk"
Alien-Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Chemical,Grape,Earthy"
Alien-Rock-Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Citrus,Sweet,Earthy"
Alien-Sour-Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Apple,Lemon,Sweet"
Alien-Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel, Spicy,Herbal, Sage"
Alien-Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy, Spicy,Herbal, Woody"
Aliens-On-Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Sage,Grapefruit,Citrus"
Allen-Iverson-Og,indica,5.0,"Uplifted,Euphoric,Happy,Relaxed"," Earthy,Sweet, Pungent"
Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Pungent,Citrus,Earthy"
Allkush,indica,5.0,"Relaxed,Sleepy,Uplifted,Happy","Spicy,Herbal, Honey, Earthy"
Aloha,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Citrus,Sweet,Tropical"
Aloha-Grape-Stomper,hybrid,5.0,"Tingly,Uplifted,Euphoric,Giggly,Happy","Blueberry,Grape,Tropical"
Aloha-Limone,hybrid,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted","Citrus,Sweet,Earthy"
Alohaberry,hybrid,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed","Berry,Apple,Chestnut"
Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Blueberry,Sweet,Earthy"
Alpha-Cow,sativa,5.0,Relaxed," Earthy,Sweet, Berry"
Alpha-Express,sativa,4.7,"Energetic,Focused,Talkative,Happy,Relaxed","Diesel, Earthy, Spicy,Herbal"
Alpha-Og,hybrid,4.6,"Relaxed,Focused,Happy,Euphoric,Sleepy","Spicy,Herbal, Sweet, Berry"
Alpine-Blue,hybrid,5.0,"Uplifted,Creative,Energetic,Aroused,Euphoric","Blueberry,Berry,Pine"
Alpine-Star,indica,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Citrus,Pine,Earthy"
Als-Dream,hybrid,3.0,"Talkative,Energetic","Citrus, Earthy, Pungent"
Ambrosia,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused","Flowery,Lavender,Earthy"
American-Dream,hybrid,4.7,"Focused,Euphoric,Tingly,Energetic,Relaxed","Pungent,Sweet,Earthy"
American-Kush,indica,4.8,"Relaxed,Tingly,Sleepy,Uplifted,Happy","Lemon,Sweet,Lime"
Americano,indica,4.6,"Relaxed,Creative,Focused,Euphoric,Aroused","Earthy, Spicy,Herbal, Tobacco"
Amethyst,hybrid,3.9,"Energetic,Creative,Giggly,Hungry,Happy","Berry, Earthy, Sweet"
Amethyst-Bud,hybrid,4.2,"Uplifted,Happy,Relaxed,Focused,Energetic","Berry,Sweet,Lavender"
Amnesia,sativa,4.3,"Happy,Euphoric,Energetic,Creative,Uplifted","Sweet,Skunk,Earthy"
Amnesia-Ganja-Haze,sativa,5.0,Relaxed,"Sweet, Citrus, Lemon"
Amnesia-Haze,sativa,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative","Citrus,Lemon,Earthy"
Ancient-Kush,indica,4.6,"Sleepy,Relaxed,Aroused,Creative,Energetic","Skunk,Cheese,Minty"
Ancient-Og,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Nutty,Flowery,Earthy"
Anesthesia,indica,4.1,"Hungry,Sleepy,Relaxed,Happy,Euphoric","Pungent,Sweet,Earthy"
Angel-Og,indica,5.0,"Happy,Relaxed,Uplifted,Sleepy,Euphoric","Pungent,Berry,Earthy"
Animal-Cookies,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Pungent,Sweet,Earthy"
Anonymous-Og,indica,5.0,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Flowery,Coffee,Earthy"
Anubis,indica,5.0,"Relaxed,Sleepy,Creative,Focused,Aroused","Grape,Lime,Earthy"
Ape-Shit,hybrid,5.0,"Happy,Relaxed,Uplifted,Giggly,Talkative","Grape,Sweet,Lavender"
Apollo-11,hybrid,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent,Citrus,Lemon"
Apollo-13,hybrid,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative","Earthy, Spicy,Herbal, Sweet"
Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy"
Appalachian-Power,sativa,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted","Sweet,Grape,Tropical"
Apple-Jack,hybrid,3.6,"Happy,Relaxed,Focused,Energetic,Tingly","Apple,Sweet,Earthy"
Apple-Kush,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Pungent,Apple,Diesel"
Appleberry,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry,Apple,Sweet"
Arabian-Gold,sativa,4.1,"Euphoric,Tingly,Giggly,Sleepy,Creative"," Spicy,Earthy"
Arctic-Sun,hybrid,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused","Skunk,Ammonia"
Arcticblue,hybrid,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Blueberry,Sweet,Earthy"
Area-51,hybrid,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative","Citrus,Sweet,Earthy"
Argyle,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused","Spicy,Herbal, Pungent, Earthy"
Arjans-Strawberry-Haze,sativa,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Berry,Strawberry,Sweet"
Arjans-Ultra-Haze-1,sativa,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative","Minty,Earthy"
Armageddon,hybrid,4.0,"Uplifted,Giggly,Happy,Relaxed,Talkative","Diesel,Woody,Tropical"
Armagnac,hybrid,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy","Spicy,Herbal, Sweet, Flowery"
Ash,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Pungent, Skunk, Spicy,Herbal"
Asian-Fantasy,sativa,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative","Woody,Skunk,Earthy"
Aspen-Og,hybrid,4.1,"Focused,Happy,Energetic,Relaxed,Talkative","Blueberry, Spicy,Herbal, Earthy"
Astroboy,sativa,4.5,"Relaxed,Energetic,Happy,Creative,Focused","Grapefruit,Citrus,Sweet"
Athabasca,indica,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly","Diesel,Ammonia,Earthy"
Atmosphere,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Citrus,Flowery,Sweet"
Atomic,hybrid,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric",Earthy
Atomic-Goat,hybrid,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy","Spicy,Herbal, Nutty, Sage"
Atomic-Northern-Lights,hybrid,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused","Pungent,Flowery,Earthy"
Atomical-Haze,sativa,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative","Pungent,Minty,Citrus"
Aurora-Borealis,indica,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry","Woody,Sweet,Earthy"
Aurora-Indica,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy, Spicy,Herbal, Tropical"
Avalon,hybrid,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly","Nutty,Sweet,Earthy"
Avi,hybrid,3.0,"Relaxed,Focused,Uplifted,Creative,Happy","Pungent,Earthy"
Avi-Dekel,hybrid,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic","Flowery,Sweet,Earthy"
Ayahuasca-Purple,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Spicy,Herbal, Pungent, Earthy"
Az-Super-Sour-Og,hybrid,4.9,"Uplifted,Happy,Giggly,Energetic,Relaxed","Sage,Pungent,Woody"
Azure-Haze,hybrid,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy","Blueberry,Berry,Sweet"
B-52,indica,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted","Woody,Sweet,Earthy"
B-Witched,hybrid,5.0,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Citrus,Sweet,Earthy"
B4,hybrid,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed","Spicy,Herbal, Berry, Skunk"
Bad-Azz-Kush,hybrid,5.0,"Relaxed, Uplifted"," Earthy,Sweet, Pine"
Bakerstreet,indica,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy","Diesel,Sweet,Earthy"
Balmoral,hybrid,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative","Cheese,Pine,Earthy"
Banana-Candy,indica,4.2,"Relaxed,Euphoric,Uplifted,Creative,Happy","Tree,Fruity,Earthy,Sweet"
Banana-Cream-Og,hybrid,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused","Minty,Pine"
Banana-Diesel,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Diesel,Skunk,Earthy"
Banana-Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruity"
Banana-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Sweet,Earthy,Tropical"
